集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,売上（10%標準）,売上（8%軽減）
20260801,31700,30,1056,30,1056,71,20330,11370,-550,10,31690
20260802,74500,81,919,81,919,159,46320,28180,0,170,74330
20260803,33870,36,940,36,940,79,14180,19690,0,2100,31770
20260805,21140,26,813,26,813,46,10690,10450,-250,20,21120
20260806,16900,22,768,22,768,37,13000,3900,-500,20,16880
20260807,18270,22,830,22,830,40,13740,4530,0,50,18220
20260808,41980,44,954,44,954,89,16910,25070,0,360,41620
20260809,82510,76,1085,76,1085,164,20170,62340,0,10,82500
20260810,91820,95,966,95,966,189,46400,45420,0,1080,90740
20260812,59110,53,1115,53,1115,124,22590,36520,0,1770,57340
20260813,62890,65,967,65,967,125,22070,40820,-300,360,62530
20260814,42560,37,1150,37,1150,87,18940,23620,0,700,41860
20260815,91840,91,1009,91,1009,192,48000,43840,0,50,91790
20260816,59340,62,957,62,957,131,15500,43840,-1200,350,58990
20260817,33970,29,1171,29,1171,71,16500,17470,0,740,33230
20260819,34320,35,980,35,980,66,16550,17770,0,350,33970
20260820,29620,27,1097,27,1097,52,6800,22820,0,0,29620
20260821,15130,16,945,16,945,29,10070,5060,0,10,15120
20260822,51120,47,1087,47,1087,114,19680,31440,0,120,51000
20260823,72790,65,1119,65,1119,159,32380,40410,0,1230,71560
20260824,33930,32,1060,32,1060,71,14230,19700,0,400,33530
20260826,24620,19,1295,19,1295,54,14150,10470,-250,40,24580
20260827,19150,21,911,21,911,41,12260,6890,-850,40,19110
20260828,29890,31,964,31,964,54,14020,15870,0,350,29540
20260829,52080,59,882,59,882,117,18930,33150,0,50,52030
20260830,115340,113,1020,113,1020,256,43960,71380,0,1930,113410
20260831,33770,34,993,34,993,65,19400,14370,0,380,33390
