集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,売上（10%標準）,売上（8%軽減）
202509,813000,890,913,890,913,1924,432390,380610,-3510,76390,736610
202510,1075540,1212,887,1212,887,2629,624610,450930,-540,30610,1044930
202511,1153230,1182,975,1182,975,2773,607180,546050,-1440,26200,1127030
202512,402515,422,953,422,953,951,219325,183190,-1725,12230,390285
202601,903510,921,981,921,981,2117,486960,416550,-28270,181110,722400
202602,942970,993,949,993,949,2152,482900,460070,-4590,196180,746790
202603,1324700,1426,928,1426,928,2988,695860,628840,-3220,48800,1275900
202604,1045480,1145,913,1145,913,2393,480340,565140,-1080,18920,1026560
202605,2189305,2294,954,2294,954,4915,1053330,1135975,-6725,17990,2171315
202606,1629535,1717,949,1717,949,3371,907325,722210,-3645,18430,1611105
202607,1127320,1344,838,1344,838,2406,679680,447640,-8050,136910,990410
202608,1274160,1268,1004,1268,1004,2682,567770,706390,-3900,12690,1261470
