"合計請求書ID","合計請求書No","件名","顧客名","顧客支社名","顧客担当者（姓）","顧客担当者（名）","請求金額","消費税","合計","源泉徴収税","請求日","支払期限","請求ステータス","支払方法","グループ","担当者（姓）","担当者（名）","顧客ID","顧客番号","顧客略称名","顧客郵便番号","顧客都道府県","顧客市区町村・番地","顧客建物名","顧客TEL","顧客FAX","To（顧客）","Cc（顧客）","顧客タグ","書類送付方法","顧客支社ID","顧客支社郵便番号","顧客支社都道府県","顧客支社市区町村・番地","顧客支社建物名","顧客支社TEL","顧客支社FAX","顧客担当者ID","顧客担当者敬称","顧客担当者肩書","顧客担当者部署","顧客担当者メールアドレス","請求金額（0%）","請求金額（8%）","消費税（8%）","請求金額（軽減8%）","消費税（軽減8%）","請求金額（10%）","消費税（10%）","請求金額（JPY・税抜）","請求金額（JPY・税込）","請求金額（JPY・0%）","請求金額（JPY・8%）","消費税（JPY・8%）","請求金額（JPY・軽減8%）","消費税（JPY・軽減8%）","請求金額（JPY・10%）","消費税（JPY・10%）","通貨","顧客の登録番号","登録番号チェック状況"
"37210718","8180","2026年08月請求分","中澤泉","","","","120000.0","12000.0","132000.0","0.0","2026-08-07","2026-10-10","入金済","銀行振込","鳥害対策課","飯田","栄","54387222","","中澤泉","299-3235","千葉県","大網白里市駒込438-9 ","大網ハイツ A 棟 1203号室","","","","","","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","120000.0","12000.0","120000","132000","0","0","0","0","0","120000","12000","JPY","","未"
"37217834","8249","2026年08月請求分","高橋　聖","","","","40000.0","4000.0","44000.0","0.0","2026-08-07","2026-08-31","請求済","銀行振込","鳥害対策課","飯田","栄","54411852","","高橋　聖","","","","","","","","","","メール(添付)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","40000.0","4000.0","40000","44000","0","0","0","0","0","40000","4000","JPY","","未"
"37212645","8162","2026年08月請求分","かみす消化器内視鏡クリニック","","","","40000.0","4000.0","44000.0","0.0","2026-08-18","2026-09-30","入金済","銀行振込","飲食事業部","花見","朗子","52819287","","かみす消化器内視鏡クリニック","314-0144","茨城県","神栖市大野原４丁目６－６","","0299-92-8000","","clinic@kamisu-gec.com","","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","40000.0","4000.0","40000","44000","0","0","0","0","0","40000","4000","JPY","","未"
"37212675","8195","2026年08月請求分","ロコティー株式会社","","","","25000.0","2500.0","27500.0","0.0","2026-08-18","2026-09-30","入金済","銀行振込","飲食事業部","花見","朗子","53003862","","ロコティー","103-0027","東京都","中央区日本橋３丁目２番１４号新槇町ビル別館第一２階","","",""," h.hanafusa@locoty.com","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","25000.0","2500.0","25000","27500","0","0","0","0","0","25000","2500","JPY","","未"
"37212666","8194","2026年08月請求分","アントラーズホームタウンDMO","","","","68182.0","6818.0","75000.0","0.0","2026-08-18","2026-09-30","入金済","銀行振込","飲食事業部","花見","朗子","54079981","","アントラーズホームタウンDMO","","","","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","68182.0","6818.0","68182","75000","0","0","0","0","0","68182","6818","JPY","","未"
"37214501","8220","2026年08月請求分","日鉄テックスエンジ株式会社","","","","78182.0","7818.0","86000.0","0.0","2026-08-21","2026-09-30","請求済","銀行振込","飲食事業部","花見","朗子","53689881","","日鉄テックスエンジ","","","","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","78182.0","7818.0","78182","86000","0","0","0","0","0","78182","7818","JPY","","未"
"37214632","8074","2026年08月請求分","辻内理章","","","","280000.0","28000.0","308000.0","0.0","2026-08-22","2026-08-31","入金済","銀行振込","鳥害対策課","飯田","栄","54356059","","辻内理章","","","","","","","","","","メール(添付)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","280000.0","28000.0","280000","308000","0","0","0","0","0","280000","28000","JPY","","未"
"37220464","8197","2026年08月請求分","株式会社ニッセーデリカ千葉工場","","","","1445000.0","144500.0","1589500.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52220944","","ニッセーデリカ千葉工場","286-0202","千葉県","富里市日吉倉1422","","0476-92-2401","","ac.cb@nisseydelica.co.jp","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","1445000.0","144500.0","1445000","1589500","0","0","0","0","0","1445000","144500","JPY","","未"
"37221666","8202","2026年08月請求分","三幸株式会社千葉支店","","釘本","","459000.0","45900.0","504900.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","平野","健雄","52221666","","三幸千葉支店","261-8501","千葉県","千葉市美浜区中瀬１丁目３","幕張テクノガーデンD棟11階","043-296-6631","","onodera@sanko-inc.co.jp","kugimoto@sanko-inc.co.jp","佐原信金,日本製鉄,夢プラスワン,東日本保健科学","メール(DL)","","","","","","","","56796719","様","","","","0.0","0.0","0.0","0.0","0.0","459000.0","45900.0","459000","504900","0","0","0","0","0","459000","45900","JPY","","未"
"37220462","8207","2026年08月請求分","エヌエス工業株式会社","","","","224672.0","22467.0","247139.0","0.0","2026-08-31","2026-09-30","請求済","銀行振込","業務課","飯田","栄","52221667","","エヌエス工業","287-0002","千葉県","香取市北3丁目12番地10","","0478-55-1211","","ns-ogi@lily.ocn.ne.jp","","佐原コミュニティセンター","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","224672.0","22467.0","224672","247139","0","0","0","0","0","224672","22467","JPY","","未"
