"合計請求書ID","合計請求書No","件名","顧客名","顧客支社名","顧客担当者（姓）","顧客担当者（名）","請求金額","消費税","合計","源泉徴収税","請求日","支払期限","請求ステータス","支払方法","グループ","担当者（姓）","担当者（名）","顧客ID","顧客番号","顧客略称名","顧客郵便番号","顧客都道府県","顧客市区町村・番地","顧客建物名","顧客TEL","顧客FAX","To（顧客）","Cc（顧客）","顧客タグ","書類送付方法","顧客支社ID","顧客支社郵便番号","顧客支社都道府県","顧客支社市区町村・番地","顧客支社建物名","顧客支社TEL","顧客支社FAX","顧客担当者ID","顧客担当者敬称","顧客担当者肩書","顧客担当者部署","顧客担当者メールアドレス","請求金額（0%）","請求金額（8%）","消費税（8%）","請求金額（軽減8%）","消費税（軽減8%）","請求金額（10%）","消費税（10%）","請求金額（JPY・税抜）","請求金額（JPY・税込）","請求金額（JPY・0%）","請求金額（JPY・8%）","消費税（JPY・8%）","請求金額（JPY・軽減8%）","消費税（JPY・軽減8%）","請求金額（JPY・10%）","消費税（JPY・10%）","通貨","顧客の登録番号","登録番号チェック状況"
"37194235","7836","2026年07月請求分","城東テクノ株式会社","","","","1660000.0","166000.0","1826000.0","0.0","2026-07-06","2026-08-31","請求済","銀行振込","鳥害対策課","飯田","栄","53314048",""," 城東テクノ","573-1132","大阪府","枚方市招提田近３丁目１４番地の１","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","1660000.0","166000.0","1660000","1826000","0","0","0","0","0","1660000","166000","JPY","","未"
"37211209","8136","2026年07月請求分","大田区鈴木","","","","110000.0","11000.0","121000.0","0.0","2026-07-09","2026-07-31","請求済","銀行振込","鳥害対策課","飯田","栄","54368573","","大田区鈴木","","","","","","","","","","メール(添付)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","110000.0","11000.0","110000","121000","0","0","0","0","0","110000","11000","JPY","","未"
"37196689","7990","2026年07月請求分","キユーソーサービス株式会社","","","","71500.0","7150.0","78650.0","0.0","2026-07-25","2026-08-31","請求済","銀行振込","鳥害対策課","飯田","栄","53558503","","キユーソーサービス","306-0313","茨城県","猿島郡五霞町元栗橋403-2","","","","","","","メール(添付)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","71500.0","7150.0","71500","78650","0","0","0","0","0","71500","7150","JPY","","未"
"37204723","8115","2026年07月請求分","株式会社ニッセーデリカ千葉工場","","","","1445000.0","144500.0","1589500.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","栄","52220944","","ニッセーデリカ千葉工場","286-0202","千葉県","富里市日吉倉1422","","0476-92-2401","","ac.cb@nisseydelica.co.jp","seikyu@prostyle-co.com","","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","1445000.0","144500.0","1445000","1589500","0","0","0","0","0","1445000","144500","JPY","","未"
"37206516","8110","2026年07月請求分","三幸株式会社千葉支店","","釘本","","390000.0","39000.0","429000.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","栄","52221666","","三幸千葉支店","261-8501","千葉県","千葉市美浜区中瀬１丁目３","幕張テクノガーデンD棟11階","043-296-6631","","onodera@sanko-inc.co.jp","kugimoto@sanko-inc.co.jp","佐原信金,日本製鉄,夢プラスワン,東日本保健科学","メール(DL)","","","","","","","","56796719","様","","","","0.0","0.0","0.0","0.0","0.0","390000.0","39000.0","390000","429000","0","0","0","0","0","390000","39000","JPY","","未"
"37204744","8123","2026年07月請求分","エヌエス工業株式会社","","","","224672.0","22467.0","247139.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","栄","52221667","","エヌエス工業","287-0002","千葉県","香取市北3丁目12番地10","","0478-55-1211","","ns-ogi@lily.ocn.ne.jp","","佐原コミュニティセンター","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","224672.0","22467.0","224672","247139","0","0","0","0","0","224672","22467","JPY","","未"
"37204725","8122","2026年07月請求分","横河ソリューションサービス株式会社","","","","86250.0","8625.0","94875.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","栄","52221668","","横河ソリューションサービス","314-0127","茨城県","神栖市木崎2406-395","","0299-93-3791","","Ayako.Uezono@yokogawa.com","Tomomi.Tsuchiya@yokogawa.com","横河日常,横河ソリューションサービス,神栖,水戸","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","86250.0","8625.0","86250","94875","0","0","0","0","0","86250","8625","JPY","","未"
"37206548","7991","2026年07月請求分","古谷乳業株式会社","","","","70000.0","7000.0","77000.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","伏田","幸枝","52221669","","古谷乳業","289-2247","千葉県","香取郡多古町水戸字水戸台1-16","","0479-76-7770","","t.imazeki@furuya-milk.co.jp","","定期清掃,トイレ掃除,ウルトラ","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","70000.0","7000.0","70000","77000","0","0","0","0","0","70000","7000","JPY","","未"
"37206557","8078","2026年07月請求分","古谷乳業株式会社","","","","78236.0","7824.0","86060.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","純子","52221669","","古谷乳業","289-2247","千葉県","香取郡多古町水戸字水戸台1-16","","0479-76-7770","","t.imazeki@furuya-milk.co.jp","","定期清掃,トイレ掃除,ウルトラ","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","78236.0","7824.0","78236","86060","0","0","0","0","0","78236","7824","JPY","","未"
"37208774","8085","2026年07月請求分","シナネンアクシア株式会社","","","","1003155.0","100316.0","1103471.0","0.0","2026-07-31","2026-09-10","請求済","銀行振込","業務課","飯田","純子","52224663","","シナネンアクシア","301-0002","茨城県","龍ケ崎市中根台四丁目10番地1","","0297-66-7111","","c-maeda@takara-gr.co.jp,y-nara@takara-gr.co.jp","seikyu@prostyle-co.com","国府台病院,日経茨城,稲敷給食センター,共立製薬,河村皮膚科","メール(DL)","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","1003155.0","100316.0","1003155","1103471","0","0","0","0","0","1003155","100316","JPY","","未"
"37206476","8065","2026年07月請求分","千葉ビル・メンテナンス株式会社","","","","249500.0","24950.0","274450.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","栄","52224745",""," 千葉ビルメンテナンス","260-0007","千葉県","千葉市中央区祐光1丁目1番38号","","043-224-0022","","sugimoto@chibabill.jp","","","郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","249500.0","24950.0","249500","274450","0","0","0","0","0","249500","24950","JPY","","未"
"37206469","8090","2026年07月請求分","東京食堂","","","","20000.0","2000.0","22000.0","0.0","2026-07-31","2026-08-31","請求済","銀行振込","業務課","飯田","純子","52224755","","東京食堂","314-0146","茨城県","神栖市平泉2123-5","","0299-92-1941","","","","定期清掃","メール(DL)+郵送","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","20000.0","2000.0","20000","22000","0","0","0","0","0","20000","2000","JPY","","未"
