利用日,利用店名,利用額,取引種類,確定／未確定,備考,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁
2025/10/31,ベストリカー神栖店 タコとハイボール神栖横丁,490,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/31,タイヨー神栖店 タコとハイボール神栖横丁,3484,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/31,タイヨー神栖店 韓国酒場ハナ,955,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/31,ｻｶｸﾞﾗﾔﾏﾅｶ 韓国酒場ハナ,60505,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/30,タイヨーオークビレッジ店 もも焼きJAPAN,6755,売上,確定,,添付済み,食材,2025/11/1,申請不要,もも焼きJAPAN,207
2025/10/30,タイヨー神栖店 大衆酒場りゅうちゃん,15908,売上,確定,,添付済み,,2025/11/7,申請不要,大衆酒場りゅうちゃん,2739
2025/10/30,ＷｏｎｄｅｒＲＥＸ　鹿島店 大衆酒場りゅうちゃん,1140,売上,確定,,添付済み,,2025/11/7,申請不要,大衆酒場りゅうちゃん,2739
2025/10/30,カスミ　ＦＭ鹿嶋スタジアム店 焼きたて屋コメリパワー鹿島店,1663,売上,確定,,添付済み,,2025/11/1,申請不要,焼きたて屋コメリパワー鹿島店,585
2025/10/30,ワークマン 韓国酒場ハナ,2800,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/29,無印良品 もも焼きJAPAN,2170,売上,確定,,添付済み,食材,2025/10/30,申請不要,もも焼きJAPAN,207
2025/10/29,ﾁｭｳﾎﾞｳｷｷﾄﾃﾝﾎﾟﾖｳﾋﾝﾃ(ﾗｸﾃﾝ もも焼きJAPAN,3406,売上,確定,,添付済み,資材,2025/10/30,申請不要,もも焼きJAPAN,207
2025/10/27,ＤＣＭ／ＮＦＣ もも焼きJAPAN,3208,売上,確定,,添付済み,資材,2025/10/27,申請不要,もも焼きJAPAN,207
2025/10/27,タイヨーオークビレッジ店 もも焼きJAPAN,5445,売上,確定,,添付済み,食材,2025/10/27,申請不要,もも焼きJAPAN,207
2025/10/27,ﾗｸﾃﾝﾄﾗﾍﾞﾙ ｺｸﾅｲｼｭｸﾊｸ ビルメン事業部,30500,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/27,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,3516,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/26,道の駅　さかい もも焼きJAPAN,1271,売上,確定,,添付済み,食材,2025/10/27,申請不要,もも焼きJAPAN,207
2025/10/26,ＭＥＧＡドン・キホーテＵＮＹ佐原東店＊ 韓国酒場ハナ,261,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/25,タイヨーオークビレッジ店 もも焼きJAPAN,17966,売上,確定,,添付済み,食材,2025/10/27,申請不要,もも焼きJAPAN,207
2025/10/25,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,9571,売上,確定,,添付済み,,2025/11/7,申請不要,大衆酒場りゅうちゃん,2739
2025/10/25,ｸﾘﾉﾐｸﾘﾉﾐ          (ﾗｸﾃﾝ さわら十三里屋リアルカード,8280,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/25,タイヨーオークビレッジ店 韓国酒場ハナ,2120,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/24,タイヨーオークビレッジ店 もも焼きJAPAN,4642,売上,確定,,添付済み,食材,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/24,山田屋酒店 もも焼きJAPAN,5141,売上,確定,,添付済み,酒,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/24,元気豚工場直売所 もも焼きJAPAN,3660,売上,確定,,添付済み,食材,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/24,ﾐﾁﾉｴｷﾀｺｱｼﾞｻｲｶﾝ もも焼きJAPAN,3599,売上,確定,,添付済み,食材,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/24,ﾏﾝﾃﾝﾌﾟﾛｲﾁﾊﾞ       (ﾗｸﾃﾝ もも焼きJAPAN,4242,売上,確定,,添付済み,食材,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/24,ﾜｲﾝﾋﾞ-ﾙﾂｳﾊﾝｻｹﾉｲｼｶﾜ(ﾗｸﾃﾝ もも焼きJAPAN,1900,売上,確定,,添付済み,酒,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/24,タイヨー神栖店 タコとハイボール神栖横丁,5367,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/24,ベストリカー神栖店 タコとハイボール神栖横丁,403,売上,確定,,未添付,,,申請不要,タコとハイボール神栖横丁,4188
2025/10/24,カスミ　ＦＭ神栖 大衆酒場りゅうちゃん,10160,売上,確定,,添付済み,,2025/11/7,申請不要,大衆酒場りゅうちゃん,2739
2025/10/24,ダイソー／ＮＦＣ さわら十三里屋リアルカード,1433,売上,確定,,未添付,,,申請不要,さわら十三里屋リアルカード,9782
2025/10/24,ＭｏｎｏｔａＲＯ．ｃｏｍ ビルメン事業部,1648,売上,確定,,未添付,,,申請不要,ビルメン事業部,321
2025/10/24,タイヨー神栖店 韓国酒場ハナ,3411,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/24,ベストリカー神栖店 韓国酒場ハナ,1911,売上,確定,,未添付,,,未申請,韓国酒場ハナ,7655
2025/10/23,タイヨーオークビレッジ店 もも焼きJAPAN,8732,売上,確定,,添付済み,sy / 食材,2025/10/25,申請不要,もも焼きJAPAN,207
2025/10/23,カスミＦＳライフガーデン神栖店 大衆酒場りゅうちゃん,14179,売上,確定,,添付済み,,2025/11/7,申請不要,大衆酒場りゅうちゃん,2739
