集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金支払額（10%標準）,現金支払額（8%軽減）,現金支払額（非課税）,現金その他支払合計額,現金その他支払額（10%標準）,現金その他支払額（8%軽減）,現金その他支払額（非課税）,割引額,売上（10%標準）,売上（8%軽減）,売上（8%標準）,売上（非課税）,返品数,返金額,返金額（10%標準）,返金額（8%軽減）,返金額（非課税）,"クレジットカード(Airペイ)支払合計額","クレジットカード(Airペイ)支払額（10%標準）","クレジットカード(Airペイ)支払額（8%軽減）","クレジットカード(Airペイ)支払額（非課税）","クレジットカード(Airペイ タッチ)支払合計額","クレジットカード(Airペイ タッチ)支払額（10%標準）","クレジットカード(Airペイ タッチ)支払額（8%軽減）","クレジットカード(Airペイ タッチ)支払額（非課税）","QR決済(Airペイ)支払合計額","QR決済(Airペイ)支払額（10%標準）","QR決済(Airペイ)支払額（8%軽減）","QR決済(Airペイ)支払額（非課税）","QR決済(Airペイ QR)支払合計額","QR決済(Airペイ QR)支払額（10%標準）","QR決済(Airペイ QR)支払額（8%軽減）","QR決済(Airペイ QR)支払額（非課税）","交通系電子マネー(Airペイ)支払合計額","交通系電子マネー(Airペイ)支払額（10%標準）","交通系電子マネー(Airペイ)支払額（8%軽減）","交通系電子マネー(Airペイ)支払額（非課税）","UnionPay 銀聯(Airペイ)支払合計額","UnionPay 銀聯(Airペイ)支払額（10%標準）","UnionPay 銀聯(Airペイ)支払額（8%軽減）","UnionPay 銀聯(Airペイ)支払額（非課税）","iD(Airペイ)支払合計額","iD(Airペイ)支払額（10%標準）","iD(Airペイ)支払額（8%軽減）","iD(Airペイ)支払額（非課税）","QUICPay(Airペイ)支払合計額","QUICPay(Airペイ)支払額（10%標準）","QUICPay(Airペイ)支払額（8%軽減）","QUICPay(Airペイ)支払額（非課税）","アントラーズDMO支払合計額","アントラーズDMO支払額（10%標準）","アントラーズDMO支払額（8%軽減）","アントラーズDMO支払額（非課税）","01_プロセミ支払合計額","01_プロセミ支払額（10%標準）","01_プロセミ支払額（8%軽減）","01_プロセミ支払額（非課税）","02_小林塗料支払合計額","02_小林塗料支払額（10%標準）","02_小林塗料支払額（8%軽減）","02_小林塗料支払額（非課税）","03_プラスワン支払合計額","03_プラスワン支払額（10%標準）","03_プラスワン支払額（8%軽減）","03_プラスワン支払額（非課税）","04_鈴生ハウジング支払合計額","04_鈴生ハウジング支払額（10%標準）","04_鈴生ハウジング支払額（8%軽減）","04_鈴生ハウジング支払額（非課税）","05_廣瀬造園支払合計額","05_廣瀬造園支払額（10%標準）","05_廣瀬造園支払額（8%軽減）","05_廣瀬造園支払額（非課税）","06_ヒューマンモビリティ支払合計額","06_ヒューマンモビリティ支払額（10%標準）","06_ヒューマンモビリティ支払額（8%軽減）","06_ヒューマンモビリティ支払額（非課税）","07_司設計事務所支払合計額","07_司設計事務所支払額（10%標準）","07_司設計事務所支払額（8%軽減）","07_司設計事務所支払額（非課税）","08_向後セラミックス支払合計額","08_向後セラミックス支払額（10%標準）","08_向後セラミックス支払額（8%軽減）","08_向後セラミックス支払額（非課税）","09_泉ハウジング支払合計額","09_泉ハウジング支払額（10%標準）","09_泉ハウジング支払額（8%軽減）","09_泉ハウジング支払額（非課税）","10_イセデリカ支払合計額","10_イセデリカ支払額（10%標準）","10_イセデリカ支払額（8%軽減）","10_イセデリカ支払額（非課税）","11_鹿島コムカイ支払合計額","11_鹿島コムカイ支払額（10%標準）","11_鹿島コムカイ支払額（8%軽減）","11_鹿島コムカイ支払額（非課税）","12_ミヤザキ支払合計額","12_ミヤザキ支払額（10%標準）","12_ミヤザキ支払額（8%軽減）","12_ミヤザキ支払額（非課税）","13_かみす消化器内視鏡クリニック支払合計額","13_かみす消化器内視鏡クリニック支払額（10%標準）","13_かみす消化器内視鏡クリニック支払額（8%軽減）","13_かみす消化器内視鏡クリニック支払額（非課税）","14_パルフィンガー支払合計額","14_パルフィンガー支払額（10%標準）","14_パルフィンガー支払額（8%軽減）","14_パルフィンガー支払額（非課税）","15_RVHSバイオラボ支払合計額","15_RVHSバイオラボ支払額（10%標準）","15_RVHSバイオラボ支払額（8%軽減）","15_RVHSバイオラボ支払額（非課税）","16_よろづ相談所支払合計額","16_よろづ相談所支払額（10%標準）","16_よろづ相談所支払額（8%軽減）","16_よろづ相談所支払額（非課税）","17_フジキ薬局支払合計額","17_フジキ薬局支払額（10%標準）","17_フジキ薬局支払額（8%軽減）","17_フジキ薬局支払額（非課税）","18_響の轍（ほっともっと小見川）支払合計額","18_響の轍（ほっともっと小見川）支払額（10%標準）","18_響の轍（ほっともっと小見川）支払額（8%軽減）","18_響の轍（ほっともっと小見川）支払額（非課税）","19_ロコティー支払合計額","19_ロコティー支払額（10%標準）","19_ロコティー支払額（8%軽減）","19_ロコティー支払額（非課税）"
20260801,118290,28,4224,50,2365,209,90540,90540,0,0,27750,27750,0,0,0,118290,0,0,0,0,0,0,0,0,18840,18840,0,0,0,0,0,0,8910,8910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260802,59200,20,2960,29,2041,105,36880,36880,0,0,22320,22320,0,0,0,59200,0,0,0,0,0,0,0,0,12520,12520,0,0,0,0,0,0,9800,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260803,75100,7,10728,25,3004,123,12450,12450,0,0,62650,62650,0,0,0,75100,0,0,0,0,0,0,0,0,38220,38220,0,0,0,0,0,0,24430,24430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260804,68440,14,4888,20,3422,116,43380,43380,0,0,25060,25060,0,0,-150,68440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21710,21710,0,0,0,0,0,0,3350,3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260806,79870,12,6655,29,2754,137,55740,55740,0,0,24130,24130,0,0,-1400,79870,0,0,0,0,0,0,0,0,12860,12860,0,0,0,0,0,0,3770,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260807,73430,21,3496,37,1984,126,35260,35260,0,0,38170,38170,0,0,0,73430,0,0,0,0,0,0,0,0,27840,27840,0,0,0,0,0,0,10330,10330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260808,97250,22,4420,44,2210,186,60890,60890,0,0,36360,36360,0,0,0,97250,0,0,0,0,0,0,0,0,15080,15080,0,0,0,0,0,0,21280,21280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260809,99890,33,3026,57,1752,195,61230,61230,0,0,38660,38660,0,0,-260,99890,0,0,0,0,0,0,0,0,20630,20630,0,0,0,0,0,0,14770,14770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3260,3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260810,93750,23,4076,41,2286,182,35250,35250,0,0,58500,58500,0,0,0,93750,0,0,0,0,0,0,0,0,26700,26700,0,0,0,0,0,0,22430,22430,0,0,0,0,0,0,2560,2560,0,0,0,0,0,0,0,0,0,0,6810,6810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260811,79550,24,3314,42,1894,161,48630,48630,0,0,30920,30920,0,0,0,79550,0,0,0,0,0,0,0,0,6810,6810,0,0,0,0,0,0,23260,23260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
