集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金支払額（10%標準）,現金支払額（8%軽減）,現金支払額（非課税）,現金その他支払合計額,現金その他支払額（10%標準）,現金その他支払額（8%軽減）,現金その他支払額（非課税）,割引額,売上（10%標準）,売上（8%軽減）,売上（8%標準）,売上（非課税）,返品数,返金額,返金額（10%標準）,返金額（8%軽減）,返金額（非課税）,"クレジットカード(Airペイ タッチ)支払合計額","クレジットカード(Airペイ タッチ)支払額（10%標準）","クレジットカード(Airペイ タッチ)支払額（8%軽減）","クレジットカード(Airペイ タッチ)支払額（非課税）","クレジットカード(Airペイ)支払合計額","クレジットカード(Airペイ)支払額（10%標準）","クレジットカード(Airペイ)支払額（8%軽減）","クレジットカード(Airペイ)支払額（非課税）","QR決済(Airペイ QR)支払合計額","QR決済(Airペイ QR)支払額（10%標準）","QR決済(Airペイ QR)支払額（8%軽減）","QR決済(Airペイ QR)支払額（非課税）","QR決済(Airペイ)支払合計額","QR決済(Airペイ)支払額（10%標準）","QR決済(Airペイ)支払額（8%軽減）","QR決済(Airペイ)支払額（非課税）","iD(Airペイ)支払合計額","iD(Airペイ)支払額（10%標準）","iD(Airペイ)支払額（8%軽減）","iD(Airペイ)支払額（非課税）","QUICPay(Airペイ)支払合計額","QUICPay(Airペイ)支払額（10%標準）","QUICPay(Airペイ)支払額（8%軽減）","QUICPay(Airペイ)支払額（非課税）","交通系電子マネー(Airペイ)支払合計額","交通系電子マネー(Airペイ)支払額（10%標準）","交通系電子マネー(Airペイ)支払額（8%軽減）","交通系電子マネー(Airペイ)支払額（非課税）","UnionPay 銀聯(Airペイ)支払合計額","UnionPay 銀聯(Airペイ)支払額（10%標準）","UnionPay 銀聯(Airペイ)支払額（8%軽減）","UnionPay 銀聯(Airペイ)支払額（非課税）","アントラーズDMO支払合計額","アントラーズDMO支払額（10%標準）","アントラーズDMO支払額（8%軽減）","アントラーズDMO支払額（非課税）","01_プロセミ支払合計額","01_プロセミ支払額（10%標準）","01_プロセミ支払額（8%軽減）","01_プロセミ支払額（非課税）","02_小林塗料支払合計額","02_小林塗料支払額（10%標準）","02_小林塗料支払額（8%軽減）","02_小林塗料支払額（非課税）","03_プラスワン支払合計額","03_プラスワン支払額（10%標準）","03_プラスワン支払額（8%軽減）","03_プラスワン支払額（非課税）","04_鈴生ハウジング支払合計額","04_鈴生ハウジング支払額（10%標準）","04_鈴生ハウジング支払額（8%軽減）","04_鈴生ハウジング支払額（非課税）","05_廣瀬造園支払合計額","05_廣瀬造園支払額（10%標準）","05_廣瀬造園支払額（8%軽減）","05_廣瀬造園支払額（非課税）","06_ヒューマンモビリティ支払合計額","06_ヒューマンモビリティ支払額（10%標準）","06_ヒューマンモビリティ支払額（8%軽減）","06_ヒューマンモビリティ支払額（非課税）","07_司設計事務所支払合計額","07_司設計事務所支払額（10%標準）","07_司設計事務所支払額（8%軽減）","07_司設計事務所支払額（非課税）","08_向後セラミックス支払合計額","08_向後セラミックス支払額（10%標準）","08_向後セラミックス支払額（8%軽減）","08_向後セラミックス支払額（非課税）","09_泉ハウジング支払合計額","09_泉ハウジング支払額（10%標準）","09_泉ハウジング支払額（8%軽減）","09_泉ハウジング支払額（非課税）","10_イセデリカ支払合計額","10_イセデリカ支払額（10%標準）","10_イセデリカ支払額（8%軽減）","10_イセデリカ支払額（非課税）","11_鹿島コムカイ支払合計額","11_鹿島コムカイ支払額（10%標準）","11_鹿島コムカイ支払額（8%軽減）","11_鹿島コムカイ支払額（非課税）","12_ミヤザキ支払合計額","12_ミヤザキ支払額（10%標準）","12_ミヤザキ支払額（8%軽減）","12_ミヤザキ支払額（非課税）","13_かみす消化器内視鏡クリニック支払合計額","13_かみす消化器内視鏡クリニック支払額（10%標準）","13_かみす消化器内視鏡クリニック支払額（8%軽減）","13_かみす消化器内視鏡クリニック支払額（非課税）","14_パルフィンガー支払合計額","14_パルフィンガー支払額（10%標準）","14_パルフィンガー支払額（8%軽減）","14_パルフィンガー支払額（非課税）","15_RVHSバイオラボ支払合計額","15_RVHSバイオラボ支払額（10%標準）","15_RVHSバイオラボ支払額（8%軽減）","15_RVHSバイオラボ支払額（非課税）","16_よろづ相談所支払合計額","16_よろづ相談所支払額（10%標準）","16_よろづ相談所支払額（8%軽減）","16_よろづ相談所支払額（非課税）","17_フジキ薬局支払合計額","17_フジキ薬局支払額（10%標準）","17_フジキ薬局支払額（8%軽減）","17_フジキ薬局支払額（非課税）","18_響の轍（ほっともっと小見川）支払合計額","18_響の轍（ほっともっと小見川）支払額（10%標準）","18_響の轍（ほっともっと小見川）支払額（8%軽減）","18_響の轍（ほっともっと小見川）支払額（非課税）","19_ロコティー支払合計額","19_ロコティー支払額（10%標準）","19_ロコティー支払額（8%軽減）","19_ロコティー支払額（非課税）"
202509,675880,277,2440,338,1999,1166,268480,268480,0,0,407400,407400,0,0,-200,675880,0,0,0,0,0,0,0,0,0,0,0,0,165150,165150,0,0,55200,55200,0,0,0,0,0,0,10750,10750,0,0,73700,73700,0,0,4500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54300,54300,0,0,5500,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202510,463810,181,2562,203,2284,793,253610,253610,0,0,210200,210200,0,0,0,463810,0,0,0,0,0,0,0,0,0,0,0,0,75000,75000,0,0,72700,72700,0,0,0,0,0,0,9150,9150,0,0,5800,5800,0,0,6050,6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,450,0,0,950,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,532940,170,3134,230,2317,766,235050,235050,0,0,297890,297890,0,0,0,532940,0,0,0,0,0,0,0,0,0,0,0,0,47200,47200,0,0,91440,91440,0,0,0,0,0,0,1200,1200,0,0,2850,2850,0,0,3850,3850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86350,86350,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202512,660000,165,4000,257,2568,1024,408350,408350,0,0,251650,251650,0,0,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,84400,84400,0,0,53050,53050,0,0,0,0,0,0,0,0,0,0,24700,24700,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900,24900,0,0,0,0,0,0,63600,63600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,537450,201,2673,263,2043,854,327850,327850,0,0,209600,209600,0,0,0,537450,0,0,0,0,0,0,0,0,0,0,0,0,105250,105250,0,0,77300,77300,0,0,0,0,0,0,1950,1950,0,0,9300,9300,0,0,4750,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3150,3150,0,0,7900,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,516400,191,2703,243,2125,875,332100,332100,0,0,184300,184300,0,0,-8500,516400,0,0,0,0,0,0,0,0,0,0,0,0,78400,78400,0,0,71200,71200,0,0,0,0,0,0,7200,7200,0,0,15700,15700,0,0,7500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,4300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202603,450100,190,2368,213,2113,712,257350,257350,0,0,192750,192750,0,0,-2000,450100,0,0,0,0,0,0,0,0,0,0,0,0,51950,51950,0,0,62050,62050,0,0,0,0,0,0,6100,6100,0,0,800,800,0,0,13850,13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55050,55050,0,0,2950,2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202604,546650,178,3071,253,2160,837,299350,299350,0,0,247300,247300,0,0,-500,546650,0,0,0,0,0,0,0,0,0,0,0,0,67950,67950,0,0,69100,69100,0,0,0,0,0,0,7000,7000,0,0,55050,55050,0,0,8400,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39800,39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,638100,208,3067,294,2170,1019,270300,270300,0,0,367800,367800,0,0,-1000,638100,0,0,0,0,0,0,0,0,0,0,0,0,246900,246900,0,0,41850,41850,0,0,0,0,0,0,6300,6300,0,0,11850,11850,0,0,8800,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52100,52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202606,509960,155,3290,243,2098,775,265710,265710,0,0,244250,244250,0,0,-500,509960,0,0,0,0,0,0,0,0,0,0,0,0,92650,92650,0,0,118150,118150,0,0,0,0,0,0,450,450,0,0,2250,2250,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29250,29250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
